Prediction,esperados
O,O
M,O
M,O
M,O
O,O
M,O
O,O
M,O
M,O
M,O
M,B
M,O
M,O
M,B
M,B
M,O
M,O
M,A
M,A
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,B
M,B
M,B
M,B
M,B
M,B
M,B
M,B
M,B
M,B
M,B
M,A
M,A
M,B
M,O
M,O
M,A
M,B
M,B
M,F
M,O
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,B
M,A
M,F
M,A
M,B
M,F
M,A
M,F
M,F
M,F
M,O
M,B
M,B
M,B
M,F
M,A
M,F
M,F
M,F
M,F
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,B
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,B
M,F
M,F
B,B
M,F
M,F
M,F
M,F
M,A
M,A
M,O
M,B
M,B
M,B
M,B
M,O
M,O
M,B
M,B
M,O
M,A
M,A
M,B
M,A
M,A
M,B
M,B
M,B
M,B
M,A
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
F,F
F,F
A,A
B,B
B,B
A,A
B,B
B,B
F,F
B,B
F,F
M,K
K,K
K,K
A,A
A,A
K,K
F,F
A,A
M,O
B,B
M,O
O,O
M,O
O,O
O,O
O,O
O,O
O,O
O,O
M,M
M,M
M,M
M,M
M,M
M,M
K,K
M,M
M,G
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
B,B
B,B
B,B
B,B
B,B
A,A
B,B
F,F
A,A
B,B
B,B
A,A
A,A
B,B
B,B
B,B
B,B
B,B
A,A
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
M,M
M,M
M,K
B,B
M,M
M,M
O,O
B,B
B,B
B,B
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
B,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
B,B
A,A
A,A
B,B
O,O
O,O
A,A
B,B
B,B
F,F
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
O,O
B,B
O,O
O,O
B,B
M,B
O,O
O,O
A,A
A,A
M,O
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,B
M,A
M,F
M,A
M,B
F,F
A,A
F,F
F,F
F,F
M,O
M,B
M,B
M,B
F,F
A,A
F,F
F,F
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,B
M,A
M,F
M,A
M,B
F,F
A,A
F,F
F,F
F,F
M,O
M,B
M,B
M,B
F,F
A,A
F,F
F,F
F,F
F,F
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
M,M
B,B
M,M
M,M
F,F
F,F
M,M
